Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
" WLY400838 3.7V 100mAh 1S LiPo Battery – Micro Rechargeable Battery Pack for Wearables / Micro Drone / IoT","battery",3,1.07,"https://robu.in/product/100mah-pcm-protected-micro-li-po-battery/","robu"
"65pcs Flexible Breadboard Jumper Wires","wires",1,0.94,"https://robu.in/product/65pcs-flexible-breadboard-jumper/","robu"
"Digitek (DTF 4GB C10) High Speed Micro SDHC 4GB","memory",1,4.24,"https://www.digitek.net.in/products/digitek-tf-memory-card-4gb-c10?variant=48250087932137&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20760892517&gbraid=0AAAAABPa9lftcljM2mQsztQc7z8wDnanW&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJOcSKRS3hY4OGpPbe4fl-CM350-vMoj1ut93RJezsTlnWq3qG06eOQaAqJ6EALw_wcB","digitek"
"Tactile Push Button Switch","buttons",1,1.66,"https://robu.in/product/tactile-push-button-switch-assorted-kit-25-pcs/","robu"
"2.4-inch SPI Interface 240×320 TFT Display Module","display",1,5.47,"https://robu.in/product/2-4-inch-spi-interface-240x320-touch-screen-tft-display-module/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWfeLsUSW8-G8_AmRkA7ZtsoF&gclid=Cj0KCQjwkMjOBhC5ARIsADIdb3fIPIRor4a-IyDDV2yR1LkkoHn3nK0V1Eg_fjxehbxQ7RKlixj3BzUaAg2aEALw_wcB#tab-description","robu"
"Seeed Studio XIAO ESP32S3 Sense","microcontroller with the camera",1,18.62,"https://robocraze.com/products/seeed-studio-xiao-esp32s3-sense?variant=46045921738976&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=23145906364&adgroupid=182236965810&keyword=&device=c&gad_source=1&gad_campaignid=23145906364&gbraid=0AAAAADgHQvaedL4AOXBAQ2OoUgbiFTC1Y&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJO2CaPbUnVPdn5w7gwbLQECx3Ercxdy5syJxJ3R82mGxrItdhz__7AaAookEALw_wcB","robocraze"
